M:org.apache.commons.math3.geometry.euclidean.twod.Segment:distance(org.apache.commons.math3.geometry.euclidean.twod.Vector2D) (S)org.apache.commons.math3.util.FastMath:min(double,double)
M:org.apache.commons.math3.geometry.euclidean.twod.SubLine:<init>(org.apache.commons.math3.geometry.euclidean.twod.Vector2D,org.apache.commons.math3.geometry.euclidean.twod.Vector2D,double) (S)org.apache.commons.math3.geometry.euclidean.twod.SubLine:buildIntervalSet(org.apache.commons.math3.geometry.euclidean.twod.Vector2D,org.apache.commons.math3.geometry.euclidean.twod.Vector2D,double)
M:org.apache.commons.math3.geometry.VectorFormat:<init>() (S)org.apache.commons.math3.util.CompositeFormat:getDefaultNumberFormat()
M:org.apache.commons.math3.geometry.euclidean.twod.Line:getAngle() (S)org.apache.commons.math3.util.MathUtils:normalizeAngle(double,double)
M:org.apache.commons.math3.geometry.euclidean.twod.Vector2D:angle(org.apache.commons.math3.geometry.euclidean.twod.Vector2D,org.apache.commons.math3.geometry.euclidean.twod.Vector2D) (S)org.apache.commons.math3.util.FastMath:acos(double)
M:org.apache.commons.math3.geometry.euclidean.twod.hull.AbstractConvexHullGenerator2D:generate(java.util.Collection) (S)org.apache.commons.math3.util.MathUtils:checkNotNull(java.lang.Object)
M:org.apache.commons.math3.geometry.VectorFormat:parseCoordinates(int,java.lang.String,java.text.ParsePosition) (S)org.apache.commons.math3.util.CompositeFormat:parseFixedstring(java.lang.String,java.lang.String,java.text.ParsePosition)
M:org.apache.commons.math3.geometry.euclidean.twod.Line:isParallelTo(org.apache.commons.math3.geometry.euclidean.twod.Line) (S)org.apache.commons.math3.util.FastMath:abs(double)
M:org.apache.commons.math3.geometry.euclidean.twod.Vector2DFormat:getInstance() (S)java.util.Locale:getDefault()
M:org.apache.commons.math3.geometry.VectorFormat:getAvailableLocales() (S)java.text.NumberFormat:getAvailableLocales()
M:org.apache.commons.math3.geometry.euclidean.twod.Line:reset(org.apache.commons.math3.geometry.euclidean.twod.Vector2D,double) (S)org.apache.commons.math3.util.MathUtils:normalizeAngle(double,double)
M:org.apache.commons.math3.geometry.euclidean.twod.Vector2D:crossProduct(org.apache.commons.math3.geometry.euclidean.twod.Vector2D,org.apache.commons.math3.geometry.euclidean.twod.Vector2D) (S)org.apache.commons.math3.util.MathArrays:linearCombination(double,double,double,double)
M:org.apache.commons.math3.geometry.euclidean.twod.Line:reset(org.apache.commons.math3.geometry.euclidean.twod.Vector2D,double) (S)org.apache.commons.math3.util.FastMath:cos(double)
M:org.apache.commons.math3.geometry.euclidean.twod.hull.MonotoneChain$1:compare(org.apache.commons.math3.geometry.euclidean.twod.Vector2D,org.apache.commons.math3.geometry.euclidean.twod.Vector2D) (S)org.apache.commons.math3.util.FastMath:signum(double)
M:org.apache.commons.math3.geometry.euclidean.twod.Line$LineTransform:apply(org.apache.commons.math3.geometry.partitioning.Hyperplane) (S)org.apache.commons.math3.geometry.euclidean.twod.Line:access$300(org.apache.commons.math3.geometry.euclidean.twod.Line)
M:org.apache.commons.math3.geometry.euclidean.twod.Vector2D:distanceInf(org.apache.commons.math3.geometry.Vector) (S)org.apache.commons.math3.util.FastMath:max(double,double)
M:org.apache.commons.math3.geometry.euclidean.twod.hull.MonotoneChain:findHullVertices(java.util.Collection) (S)java.util.Collections:sort(java.util.List,java.util.Comparator)
M:org.apache.commons.math3.geometry.euclidean.twod.Vector2D:distance1(org.apache.commons.math3.geometry.Vector) (S)org.apache.commons.math3.util.FastMath:abs(double)
M:org.apache.commons.math3.geometry.euclidean.twod.Vector2D:getNorm() (S)org.apache.commons.math3.util.FastMath:sqrt(double)
M:org.apache.commons.math3.geometry.euclidean.twod.Euclidean2D:readResolve() (S)org.apache.commons.math3.geometry.euclidean.twod.Euclidean2D$LazyHolder:access$000()
M:org.apache.commons.math3.geometry.euclidean.twod.Vector2D:getNorm1() (S)org.apache.commons.math3.util.FastMath:abs(double)
M:org.apache.commons.math3.geometry.euclidean.twod.hull.ConvexHull2D:isConvex(org.apache.commons.math3.geometry.euclidean.twod.Vector2D[]) (S)org.apache.commons.math3.util.MathArrays:linearCombination(double,double,double,double)
M:org.apache.commons.math3.geometry.euclidean.twod.Line$LineTransform:apply(org.apache.commons.math3.geometry.partitioning.Hyperplane) (S)org.apache.commons.math3.geometry.euclidean.twod.Line:access$100(org.apache.commons.math3.geometry.euclidean.twod.Line)
M:org.apache.commons.math3.geometry.euclidean.twod.Vector2D:angle(org.apache.commons.math3.geometry.euclidean.twod.Vector2D,org.apache.commons.math3.geometry.euclidean.twod.Vector2D) (S)org.apache.commons.math3.util.FastMath:abs(double)
M:org.apache.commons.math3.geometry.euclidean.twod.Euclidean2D:getSubSpace() (S)org.apache.commons.math3.geometry.euclidean.oned.Euclidean1D:getInstance()
M:org.apache.commons.math3.geometry.euclidean.twod.Line$LineTransform:apply(org.apache.commons.math3.geometry.partitioning.Hyperplane) (S)org.apache.commons.math3.geometry.euclidean.twod.Line:access$000(org.apache.commons.math3.geometry.euclidean.twod.Line)
M:org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet$1:<clinit>() (S)org.apache.commons.math3.geometry.partitioning.Side:values()
M:org.apache.commons.math3.geometry.euclidean.twod.Vector2D:hashCode() (S)org.apache.commons.math3.util.MathUtils:hash(double)
