M:org.apache.nutch.segment.SegmentMerger$SegmentOutputFormat$1:write(org.apache.hadoop.io.Text,org.apache.nutch.metadata.MetaWrapper) (S)org.apache.nutch.segment.SegmentPart:parse(java.lang.String)
M:org.apache.nutch.indexer.IndexingFiltersChecker:run(java.lang.String[]) (S)org.apache.nutch.util.URLUtil:toASCII(java.lang.String)
M:org.apache.nutch.util.StringUtil:toHexString(byte[]) (S)org.apache.nutch.util.StringUtil:toHexString(byte[],java.lang.String,int)
M:org.apache.nutch.plugin.PluginDescriptor:collectLibs(java.util.ArrayList,org.apache.nutch.plugin.PluginDescriptor) (S)org.apache.nutch.plugin.PluginRepository:get(org.apache.hadoop.conf.Configuration)
M:org.apache.nutch.parse.ParsePluginsReader:parse(org.apache.hadoop.conf.Configuration) (S)javax.xml.parsers.DocumentBuilderFactory:newInstance()
M:org.apache.nutch.scoring.webgraph.LinkDumper$Reader:main(java.lang.String[]) (S)org.apache.nutch.util.NutchConfiguration:create()
M:org.apache.nutch.crawl.MapWritable:findEntryByKey(org.apache.hadoop.io.Writable) (S)org.apache.nutch.crawl.MapWritable$KeyValueEntry:access$100(org.apache.nutch.crawl.MapWritable$KeyValueEntry)
M:org.apache.nutch.tools.arc.ArcSegmentCreator:output(org.apache.hadoop.mapred.OutputCollector,java.lang.String,org.apache.hadoop.io.Text,org.apache.nutch.crawl.CrawlDatum,org.apache.nutch.protocol.Content,org.apache.nutch.protocol.ProtocolStatus,int) (S)java.lang.System:currentTimeMillis()
M:org.apache.nutch.fetcher.OldFetcher$FetcherThread:output(org.apache.hadoop.io.Text,org.apache.nutch.crawl.CrawlDatum,org.apache.nutch.protocol.Content,org.apache.nutch.protocol.ProtocolStatus,int) (S)java.lang.Integer:toString(int)
M:org.apache.nutch.crawl.Injector:run(java.lang.String[]) (S)org.apache.hadoop.util.StringUtils:stringifyException(java.lang.Throwable)
M:org.apache.nutch.crawl.MapWritable:getClass(byte) (S)org.apache.nutch.crawl.MapWritable$ClassIdEntry:access$500(org.apache.nutch.crawl.MapWritable$ClassIdEntry)
M:org.apache.nutch.crawl.MapWritable:createInternalIdClassEntries() (S)org.apache.nutch.crawl.MapWritable$KeyValueEntry:access$000(org.apache.nutch.crawl.MapWritable$KeyValueEntry)
M:org.apache.nutch.crawl.MapWritable:<clinit>() (S)org.apache.nutch.crawl.MapWritable:addToMap(java.lang.Class,java.lang.Byte)
M:org.apache.nutch.scoring.webgraph.WebGraph:createWebGraph(org.apache.hadoop.fs.Path,org.apache.hadoop.fs.Path[],boolean,boolean) (S)org.apache.hadoop.util.StringUtils:stringifyException(java.lang.Throwable)
M:org.apache.nutch.segment.SegmentMerger$SegmentOutputFormat$1:ensureSequenceFile(java.lang.String,java.lang.String) (S)org.apache.hadoop.mapred.SequenceFileOutputFormat:getOutputCompressionType(org.apache.hadoop.mapred.JobConf)
M:org.apache.nutch.parse.ParseSegment:map(org.apache.hadoop.io.WritableComparable,org.apache.nutch.protocol.Content,org.apache.hadoop.mapred.OutputCollector,org.apache.hadoop.mapred.Reporter) (S)org.apache.nutch.util.StringUtil:toHexString(byte[])
M:org.apache.nutch.crawl.LinkDb:run(java.lang.String[]) (S)org.apache.nutch.util.HadoopFSUtil:getPassDirectoriesFilter(org.apache.hadoop.fs.FileSystem)
M:org.apache.nutch.indexer.IndexingJob:main(java.lang.String[]) (S)org.apache.nutch.util.NutchConfiguration:create()
M:org.apache.nutch.indexer.NutchDocument:readFields(java.io.DataInput) (S)org.apache.hadoop.io.Text:readString(java.io.DataInput)
M:org.apache.nutch.crawl.LinkDbMerger:reduce(org.apache.hadoop.io.Text,java.util.Iterator,org.apache.hadoop.mapred.OutputCollector,org.apache.hadoop.mapred.Reporter) (S)java.lang.Math:min(int,int)
M:org.apache.nutch.scoring.webgraph.LinkRank:analyze(org.apache.hadoop.fs.Path) (S)java.lang.System:currentTimeMillis()
M:org.apache.nutch.metadata.SpellCheckedMetadata:normalize(java.lang.String) (S)java.lang.Character:isLetter(char)
M:org.apache.nutch.scoring.webgraph.LinkRank:run(java.lang.String[]) (S)org.apache.commons.cli.OptionBuilder:withDescription(java.lang.String)
M:org.apache.nutch.fetcher.Fetcher$FetcherThread:output(org.apache.hadoop.io.Text,org.apache.nutch.crawl.CrawlDatum,org.apache.nutch.protocol.Content,org.apache.nutch.protocol.ProtocolStatus,int,int) (S)java.lang.Integer:toString(int)
M:org.apache.nutch.crawl.Generator:<clinit>() (S)org.slf4j.LoggerFactory:getLogger(java.lang.Class)
M:org.apache.nutch.fetcher.Fetcher:run(org.apache.hadoop.mapred.RecordReader,org.apache.hadoop.mapred.OutputCollector,org.apache.hadoop.mapred.Reporter) (S)java.lang.Integer:toString(int)
M:org.apache.nutch.metadata.Metadata:write(java.io.DataOutput) (S)org.apache.hadoop.io.Text:writeString(java.io.DataOutput,java.lang.String)
M:org.apache.nutch.tools.FreeGenerator:run(java.lang.String[]) (S)org.apache.hadoop.util.StringUtils:stringifyException(java.lang.Throwable)
M:org.apache.nutch.crawl.CrawlDb:run(java.lang.String[]) (S)org.apache.hadoop.util.StringUtils:stringifyException(java.lang.Throwable)
M:org.apache.nutch.parse.ParseSegment:map(org.apache.hadoop.io.WritableComparable,org.apache.nutch.protocol.Content,org.apache.hadoop.mapred.OutputCollector,org.apache.hadoop.mapred.Reporter) (S)org.apache.hadoop.util.StringUtils:stringifyException(java.lang.Throwable)
M:org.apache.nutch.scoring.webgraph.Loops:findLoops(org.apache.hadoop.fs.Path) (S)java.lang.Integer:toString(int)
M:org.apache.nutch.parse.ParseOutputFormat$1:write(org.apache.hadoop.io.Text,org.apache.nutch.parse.Parse) (S)java.lang.Math:min(int,int)
M:org.apache.nutch.fetcher.OldFetcher:run(java.lang.String[]) (S)org.apache.hadoop.util.StringUtils:stringifyException(java.lang.Throwable)
M:org.apache.nutch.parse.ParseData:main(java.lang.String[]) (S)org.apache.nutch.util.NutchConfiguration:create()
M:org.apache.nutch.scoring.webgraph.LinkRank$Inverter:reduce(org.apache.hadoop.io.Text,java.util.Iterator,org.apache.hadoop.mapred.OutputCollector,org.apache.hadoop.mapred.Reporter) (S)org.apache.hadoop.io.WritableUtils:clone(org.apache.hadoop.io.Writable,org.apache.hadoop.conf.Configuration)
M:org.apache.nutch.crawl.DeduplicationJob:<clinit>() (S)org.slf4j.LoggerFactory:getLogger(java.lang.Class)
M:org.apache.nutch.fetcher.Fetcher$QueueFeeder:run() (S)java.lang.System:currentTimeMillis()
M:org.apache.nutch.fetcher.OldFetcher:<clinit>() (S)org.slf4j.LoggerFactory:getLogger(java.lang.Class)
M:org.apache.nutch.parse.ParseSegment:main(java.lang.String[]) (S)java.lang.System:exit(int)
M:org.apache.nutch.scoring.webgraph.WebGraph$OutlinkDb:reduce(org.apache.hadoop.io.Text,java.util.Iterator,org.apache.hadoop.mapred.OutputCollector,org.apache.hadoop.mapred.Reporter) (S)org.apache.nutch.util.URLUtil:getPage(java.lang.String)
M:org.apache.nutch.fetcher.Fetcher$FetcherThread:output(org.apache.hadoop.io.Text,org.apache.nutch.crawl.CrawlDatum,org.apache.nutch.protocol.Content,org.apache.nutch.protocol.ProtocolStatus,int,int) (S)java.lang.Math:min(int,int)
M:org.apache.nutch.scoring.webgraph.Loops:run(java.lang.String[]) (S)org.apache.commons.cli.OptionBuilder:hasArg()
M:org.apache.nutch.segment.SegmentReader:get(org.apache.hadoop.fs.Path,org.apache.hadoop.io.Text,java.io.Writer,java.util.Map) (S)java.lang.Thread:sleep(long)
M:org.apache.nutch.crawl.LinkDb:main(java.lang.String[]) (S)org.apache.hadoop.util.ToolRunner:run(org.apache.hadoop.conf.Configuration,org.apache.hadoop.util.Tool,java.lang.String[])
M:org.apache.nutch.segment.SegmentMerger:reduce(org.apache.hadoop.io.Text,java.util.Iterator,org.apache.hadoop.mapred.OutputCollector,org.apache.hadoop.mapred.Reporter) (S)java.lang.String:valueOf(long)
M:org.apache.nutch.parse.ParseOutputFormat$1:write(org.apache.hadoop.io.Text,org.apache.nutch.parse.Parse) (S)org.apache.nutch.util.URLUtil:chooseRepr(java.lang.String,java.lang.String,boolean)
M:org.apache.nutch.metadata.SpellCheckedMetadata:get(java.lang.String) (S)org.apache.nutch.metadata.SpellCheckedMetadata:getNormalizedName(java.lang.String)
M:org.apache.nutch.util.URLUtil:getHostSegments(java.lang.String) (S)org.apache.nutch.util.URLUtil:getHostSegments(java.net.URL)
M:org.apache.nutch.fetcher.OldFetcher$FetcherThread:handleRedirect(org.apache.hadoop.io.Text,org.apache.nutch.crawl.CrawlDatum,java.lang.String,java.lang.String,boolean,java.lang.String) (S)org.apache.nutch.fetcher.OldFetcher:access$400(org.apache.nutch.fetcher.OldFetcher)
M:org.apache.nutch.protocol.RobotRulesParser:main(java.lang.String[]) (S)com.google.common.io.Files:toByteArray(java.io.File)
M:org.apache.nutch.tools.proxy.TestbedProxy:main(java.lang.String[]) (S)java.lang.Integer:parseInt(java.lang.String)
M:org.apache.nutch.crawl.MapWritable:readFields(java.io.DataInput) (S)org.apache.hadoop.io.Text:readString(java.io.DataInput)
M:org.apache.nutch.scoring.webgraph.NodeReader:dumpUrl(org.apache.hadoop.fs.Path,java.lang.String) (S)org.apache.hadoop.mapred.MapFileOutputFormat:getReaders(org.apache.hadoop.fs.FileSystem,org.apache.hadoop.fs.Path,org.apache.hadoop.conf.Configuration)
M:org.apache.nutch.segment.SegmentReader$TextOutputFormat:getRecordWriter(org.apache.hadoop.fs.FileSystem,org.apache.hadoop.mapred.JobConf,java.lang.String,org.apache.hadoop.util.Progressable) (S)org.apache.hadoop.mapred.FileOutputFormat:getOutputPath(org.apache.hadoop.mapred.JobConf)
M:org.apache.nutch.crawl.Injector:<clinit>() (S)org.slf4j.LoggerFactory:getLogger(java.lang.Class)
M:org.apache.nutch.fetcher.Fetcher:main(java.lang.String[]) (S)java.lang.System:exit(int)
M:org.apache.nutch.segment.SegmentMerger:merge(org.apache.hadoop.fs.Path,org.apache.hadoop.fs.Path[],boolean,boolean,long) (S)org.apache.hadoop.mapred.FileOutputFormat:setOutputPath(org.apache.hadoop.mapred.JobConf,org.apache.hadoop.fs.Path)
M:org.apache.nutch.tools.DmozParser:main(java.lang.String[]) (S)java.util.regex.Pattern:compile(java.lang.String)
M:org.apache.nutch.crawl.FetchScheduleFactory:getFetchSchedule(org.apache.hadoop.conf.Configuration) (S)org.apache.nutch.util.ObjectCache:get(org.apache.hadoop.conf.Configuration)
M:org.apache.nutch.crawl.MapWritable:createInternalIdClassEntries() (S)org.apache.nutch.crawl.MapWritable$KeyValueEntry:access$602(org.apache.nutch.crawl.MapWritable$KeyValueEntry,byte)
M:org.apache.nutch.parse.ParseText:readFields(java.io.DataInput) (S)org.apache.hadoop.io.WritableUtils:readCompressedString(java.io.DataInput)
M:org.apache.nutch.crawl.CrawlDb:update(org.apache.hadoop.fs.Path,org.apache.hadoop.fs.Path[],boolean,boolean,boolean,boolean) (S)org.apache.nutch.crawl.CrawlDb:install(org.apache.hadoop.mapred.JobConf,org.apache.hadoop.fs.Path)
M:org.apache.nutch.util.CommandRunner:exec() (S)java.lang.System:currentTimeMillis()
M:org.apache.nutch.crawl.LinkDbReader:main(java.lang.String[]) (S)org.apache.nutch.util.NutchConfiguration:create()
M:org.apache.nutch.crawl.LinkDbMerger:main(java.lang.String[]) (S)org.apache.hadoop.util.ToolRunner:run(org.apache.hadoop.conf.Configuration,org.apache.hadoop.util.Tool,java.lang.String[])
M:org.apache.nutch.parse.ParseOutputFormat:getRecordWriter(org.apache.hadoop.fs.FileSystem,org.apache.hadoop.mapred.JobConf,java.lang.String,org.apache.hadoop.util.Progressable) (S)org.apache.hadoop.mapred.FileOutputFormat:getOutputPath(org.apache.hadoop.mapred.JobConf)
M:org.apache.nutch.crawl.MapWritable:readFields(java.io.DataInput) (S)java.lang.Class:forName(java.lang.String)
M:org.apache.nutch.segment.SegmentMerger:main(java.lang.String[]) (S)org.apache.nutch.util.HadoopFSUtil:getPaths(org.apache.hadoop.fs.FileStatus[])
M:org.apache.nutch.indexer.IndexingJob:index(org.apache.hadoop.fs.Path,org.apache.hadoop.fs.Path,java.util.List,boolean,boolean,java.lang.String,boolean,boolean) (S)java.lang.System:currentTimeMillis()
M:org.apache.nutch.crawl.Injector$InjectMapper:map(org.apache.hadoop.io.WritableComparable,org.apache.hadoop.io.Text,org.apache.hadoop.mapred.OutputCollector,org.apache.hadoop.mapred.Reporter) (S)java.lang.Integer:parseInt(java.lang.String)
M:org.apache.nutch.crawl.CrawlDbReader:processStatJob(java.lang.String,org.apache.hadoop.conf.Configuration,boolean) (S)org.apache.hadoop.mapred.JobClient:runJob(org.apache.hadoop.mapred.JobConf)
M:org.apache.nutch.scoring.webgraph.LinkRank:analyze(org.apache.hadoop.fs.Path) (S)java.lang.Long:valueOf(long)
M:org.apache.nutch.parse.ParserChecker:run(java.lang.String[]) (S)org.apache.nutch.parse.ParseSegment:isTruncated(org.apache.nutch.protocol.Content)
M:org.apache.nutch.fetcher.FetcherOutputFormat:getRecordWriter(org.apache.hadoop.fs.FileSystem,org.apache.hadoop.mapred.JobConf,java.lang.String,org.apache.hadoop.util.Progressable) (S)org.apache.hadoop.mapred.FileOutputFormat:getOutputPath(org.apache.hadoop.mapred.JobConf)
M:org.apache.nutch.scoring.webgraph.LinkRank$Analyzer:map(org.apache.hadoop.io.Text,org.apache.hadoop.io.Writable,org.apache.hadoop.mapred.OutputCollector,org.apache.hadoop.mapred.Reporter) (S)org.apache.hadoop.io.WritableUtils:clone(org.apache.hadoop.io.Writable,org.apache.hadoop.conf.Configuration)
M:org.apache.nutch.crawl.Injector:inject(org.apache.hadoop.fs.Path,org.apache.hadoop.fs.Path) (S)org.apache.nutch.util.TimingUtil:elapsedTime(long,long)
M:org.apache.nutch.crawl.LinkDb:invert(org.apache.hadoop.fs.Path,org.apache.hadoop.fs.Path[],boolean,boolean,boolean) (S)org.apache.hadoop.mapred.FileOutputFormat:getOutputPath(org.apache.hadoop.mapred.JobConf)
M:org.apache.nutch.scoring.webgraph.WebGraph:main(java.lang.String[]) (S)org.apache.hadoop.util.ToolRunner:run(org.apache.hadoop.conf.Configuration,org.apache.hadoop.util.Tool,java.lang.String[])
M:org.apache.nutch.crawl.CrawlDbReader:main(java.lang.String[]) (S)java.lang.Long:parseLong(java.lang.String)
